ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:28Z,1531989328,C90D,40.6074387,44.1579393,6399.06,-18.9,-13.1,76.1,508833.38,-80480.28,70.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,352.767096,271.9404297,1.120145294,6399.062012,5822.113892,NaN,NaN,3.600656848,NaN,4.35384603,2.96327915,NaN,NaN,NaN,NaN,NaN,6275.336148,NaN,,,0.950000048,576.9481201,NaN,NaN
2018-07-19T08:35:29Z,1531989329,C90D,40.6132974,44.1589583,6254.46,-14.8,-14.2,74.2,509291.41,-80323.45,68.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,505.2696704,390.9226074,1.601344695,6254.459961,5692.157593,484.1360209,-144.6020508,1.263422687,NaN,4.476919208,2.337645477,5000,6.009840012,6.009840012,6.009840012,12764.87199,6133.529978,18898.40197,,,1.950000048,562.3023682,481.4419145,503.1462379
2018-07-19T08:35:30Z,1531989330,C90D,40.6219874,44.1609911,6074.06,-13.4,-12.2,71.5,509965.38,-80032.86,66.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,755.7939468,567.9678345,2.389684097,6074.055176,5491.267273,733.9472757,-180.4047852,0.578535505,NaN,0.723071146,1.425265286,5000,6.288731098,6.288731098,6.288731098,28561.2245,5956.613319,34517.83782,,,2.950000048,582.7879028,1211.388646,1255.740766
2018-07-19T08:35:31Z,1531989331,C90D,40.6338589,44.1633755,5873.49,-13.6,-11.1,77.1,510890.06,-79679.37,71.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,1010.064061,752.3118286,3.185316978,5873.491699,5244.93042,989.9513621,-200.5634766,0.121020607,NaN,0.476948695,3.978302166,5000,8.836448669,8.836448669,8.836448669,51011.47037,5759.927737,56771.39811,,,3.950000048,628.5612793,2195.871803,2261.34962
2018-07-19T08:35:32Z,1531989332,C90D,40.6469983,44.165188,5664.59,-12.7,-10.9,81.2,511922,-79379.78,75.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,1094.663581,821.0384521,3.442787171,5664.585938,4972.94635,1074.544898,-208.9057617,0.046182468,NaN,0.969226041,4.266416193,5000,7.654284,7.654284,7.654284,59914.41776,5555.061168,65469.47893,,,4.950000048,691.6395874,3264.334713,3350.992096
2018-07-19T08:35:33Z,1531989333,C90D,40.6602991,44.1663458,5458.24,-12,-10.5,84.9,512973.62,-79151.57,79.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,1095.706674,830.4060059,3.436926014,5458.242188,4760.521851,1076.101934,-206.34375,0.332222681,NaN,0.415359171,3.129293217,5000,5.733177662,5.733177662,5.733177662,60028.65579,5352.707075,65381.36286,,,5.950000048,697.7203369,4334.22873,4441.518581
2018-07-19T08:35:34Z,1531989334,C90D,40.6737101,44.1671542,5281.86,-12,-8.5,85.4,514037.66,-78961.16,80,Weapon+Missile,Red,Allies,R-27ER,,xu,,1095.228763,837.4644165,3.427673587,5281.864746,4476.782288,1080.933412,-176.3774414,0.054253728,NaN,0.692290899,1.862470497,5000,3.498771906,3.498771906,3.498771906,59976.30214,5179.739891,65156.04203,,,6.950000048,805.0824585,5408.886387,5531.446841
2018-07-19T08:35:35Z,1531989335,C90D,40.6872039,44.1679212,5129.08,-11.2,-7.4,85.7,515108.69,-78774.55,80.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,1097.84999,845.8641968,3.429187073,5129.078613,4187.603821,1087.166499,-152.7861328,0.090581863,NaN,0.569195522,1.098699854,5000,2.930399418,2.930399418,2.930399418,60263.72998,5029.907878,65293.63786,,,7.950000048,941.4747925,6489.747326,6623.926445
2018-07-19T08:35:36Z,1531989336,C90D,40.7008827,44.168639,4992.86,-10.2,-6.7,86,516195.03,-78591.85,80.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,1109.990655,860.7614746,3.461111595,4992.85791,4018.477295,1101.600279,-136.2207031,0.035264883,NaN,0.969227749,0.806263171,5000,2.170771122,2.170771122,2.170771122,61603.96275,4896.321002,66500.28375,,,8.950000048,974.3806152,7584.903679,7728.384519
2018-07-19T08:35:37Z,1531989337,C90D,40.7145766,44.1693006,4867.26,-9.2,-6.3,86.5,517283.16,-78415.07,81.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,1109.523113,865.8392944,3.454153961,4867.263672,3912.959839,1102.391775,-125.5942383,0.030334163,NaN,0.938450916,0.614380052,5000,1.983758926,1.983758926,1.983758926,61552.07693,4773.155129,66325.23206,,,9.950000048,954.303833,8680.81586,8832.311523
