ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:42Z,1531989342,CF0C,40.827374,44.0482793,852.25,-3.5,-1.2,74.3,527589.5,-91002.75,68.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,441.4965485,426.6480103,1.309570718,852.2453613,115.4108276,NaN,NaN,0.875340213,NaN,0.769238529,7.504021673,NaN,NaN,NaN,NaN,NaN,835.7671973,NaN,,,0.879999876,736.8345337,NaN,NaN
2018-07-19T08:35:43Z,1531989343,CF0C,40.8350275,44.0501945,828.91,-2.5,-1.7,66.5,528182.44,-90731.32,61,Weapon+Missile,Red,Allies,R-27ET,,xu,,652.5286222,623.4605713,1.935017391,828.9076538,120.5994263,652.1111517,-23.33770752,0.30630954,NaN,0.846149021,6.710580178,3756.888816,13.7210598,13.7210598,13.7210598,21289.68014,812.8807243,22102.56086,,,1.879999876,708.3082275,648.4081081,648.9133598
2018-07-19T08:35:44Z,1531989344,CF0C,40.844366,44.05393,815.92,-3.2,0.5,57.4,528891,-90244.68,51.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,859.6793783,817.397583,2.54892521,815.918457,76.40472412,859.5812436,-12.98919678,0.698086663,NaN,1.507668637,7.037549871,5000,7.131463528,7.131463528,7.131463528,36952.43168,800.1426737,37752.57435,,,2.879999876,739.5137329,1503.470444,1504.184591
2018-07-19T08:35:45Z,1531989345,CF0C,40.8545813,44.0586401,838.99,-3.6,2,57.2,529659.25,-89642.89,51.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,976.1609615,925.8759766,2.895056015,838.9854126,149.7192993,975.8883841,23.06695557,0.069160809,NaN,0.199987939,2.634804383,5000,2.847400427,2.847400427,2.847400427,47644.51113,822.7636296,48467.27476,,,3.879999876,689.2661133,2474.447163,2475.561196
2018-07-19T08:35:46Z,1531989346,CF0C,40.8642831,44.063208,877.12,-3.4,2.7,56.8,530387.81,-89060.78,51.2,Weapon+Missile,Red,Allies,R-27ET,,xu,,933.3320771,884.1070557,2.769248274,877.1184082,197.2476196,932.552755,38.13299561,0.083086416,NaN,0.261522821,0.779546192,5000,1.849988937,1.849988937,1.849988937,43555.43831,860.1593238,44415.59763,,,4.879999876,679.8707886,3402.28525,3404.307279
2018-07-19T08:35:47Z,1531989347,CF0C,40.87373,44.0676489,922.44,-3.1,3.1,57.3,531097.19,-88494.66,51.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,908.7160182,859.2873535,2.697616044,922.4438477,188.4656982,907.5849306,45.32543945,0.046625365,NaN,0.399975878,0.716838599,5000,2.332398653,2.332398653,2.332398653,41288.24009,904.6083959,42192.84848,,,5.879999876,733.9781494,4305.270423,4308.556521
2018-07-19T08:35:48Z,1531989348,CF0C,40.8829958,44.0718404,973.45,-2.8,3.5,58.8,531794.56,-87957.55,53.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,881.7095228,832.1596069,2.618981176,973.4507446,194.6768799,880.2329118,51.00689697,0.057146611,NaN,0.38464253,1.536439208,5000,3.388324976,3.388324976,3.388324976,38870.58413,954.6290745,39825.2132,,,6.879999876,778.7738647,5181.021195,5185.921387
2018-07-19T08:35:49Z,1531989349,CF0C,40.8921652,44.0756866,1029.63,-2.4,4,61,532487.81,-87459.46,55.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,855.4815677,805.7288818,2.542720206,1029.626953,245.2492065,853.6351365,56.1762085,0.056334117,NaN,0.400030519,2.148390967,5000,3.779057503,3.779057503,3.779057503,36592.43563,1009.719116,37602.15475,,,7.879999876,784.3777466,6030.197058,6037.086408
2018-07-19T08:35:50Z,1531989350,CF0C,40.9013915,44.079208,1090.28,-2,4.2,63.3,533189,-86996.93,57.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,842.1863588,791.258667,2.504955418,1090.280029,262.3947144,839.9994449,60.65307617,0.096742825,NaN,0.461565401,1.949137273,5000,2.608453274,2.608453274,2.608453274,35463.89315,1069.199465,36533.09262,,,8.879999876,827.8853149,6865.710891,6874.937351
2018-07-19T08:35:51Z,1531989351,CF0C,40.9105562,44.0824743,1150.93,-1.6,4.3,64.1,533887.94,-86563.13,58.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,824.846512,773.1557617,2.455100252,1150.929932,282.9571533,822.6137354,60.64990234,0.063363647,NaN,0.36920865,0.895009686,5000,1.228051066,1.228051066,1.228051066,34018.58842,1128.676701,35147.26512,,,9.879999876,867.9727783,7683.828113,7695.442934
2018-07-19T08:35:52Z,1531989352,CF0C,40.9192973,44.0855672,1210.67,-1.6,4.5,63.4,534554.69,-86151.8,57.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,785.6944203,735.2155151,2.340183538,1210.673828,300.0418701,783.4196761,59.74389648,0.029149815,NaN,0,0.600853822,5000,2.139762402,2.139762402,2.139762402,30865.7861,1187.26545,32053.05155,,,10.87999988,910.631958,8462.994617,8477.04039
2018-07-19T08:35:53Z,1531989353,CF0C,40.9271139,44.0884744,1269.46,-1.9,5.1,62,535149.38,-85768.19,56.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,710.1204775,664.4154663,2.116528105,1269.459229,378.4576416,707.6830994,58.78540039,0.03440368,NaN,0.476911129,1.485818968,5000,2.590240717,2.590240717,2.590240717,25213.55463,1244.914234,26458.46886,,,11.87999988,891.0015869,9166.819221,9183.452054
2018-07-19T08:35:54Z,1531989354,CF0C,40.9341067,44.0912387,1331.36,-2.3,5.9,60.4,535679.56,-85406.8,54.9,Weapon+Missile,Red,Allies,R-27ET,,xu,,644.6141883,603.2886353,1.922665362,1331.355347,449.9090576,641.6356617,61.89611816,0.034740883,NaN,0.369212706,1.778937177,5000,2.63965559,2.63965559,2.63965559,20776.37259,1305.613591,22081.98618,,,12.87999988,881.4462891,9805.017261,9824.7741
2018-07-19T08:35:55Z,1531989355,CF0C,40.9403861,44.093902,1395.78,-2.8,6.7,58.6,536153.62,-85062.13,53,Weapon+Missile,Red,Allies,R-27ET,,xu,,589.6481855,552.1143188,1.760037339,1395.783813,498.0681152,586.1176975,64.4284668,0.057021317,NaN,0.553791738,1.977191848,5000,2.702405453,2.702405453,2.702405453,17384.24913,1368.796333,18753.04547,,,13.87999988,897.7156982,10388.06454,10411.49424
2018-07-19T08:35:56Z,1531989356,CF0C,40.9459976,44.0964752,1462.49,-3.6,7.5,56.4,536575.19,-84732.62,50.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,539.2026825,505.3147888,1.610712459,1462.486084,473.7519531,535.0610618,66.70227051,0.068129383,NaN,0.876941648,2.488308351,5000,3.262882948,3.262882948,3.262882948,14536.97664,1434.208916,15971.18556,,,14.87999988,988.7341309,10920.34598,10948.05711
