ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:48Z,1531989348,E20C,40.850907,44.0489441,861.76,39.1,7.9,99.1,529468.19,-90748.37,93.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,401.094743,388.3495178,1.189860483,861.7561646,75.38049316,NaN,NaN,0.871283845,NaN,8.753843648,6.541408224,NaN,NaN,NaN,NaN,NaN,845.0941091,NaN,,,0.720000029,786.3756714,NaN,NaN
2018-07-19T08:35:49Z,1531989349,E20C,40.8581115,44.0481802,970.68,28,14.6,98.2,530053.62,-90777.85,92.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,596.2139947,567.8149414,1.770904597,970.6815186,223.324646,586.1794902,108.925354,0.919410012,NaN,11.66153714,4.53226722,5000,6.051333427,6.051333427,6.051333427,17773.55638,951.9133914,18725.46977,,,1.720000029,747.3568726,582.6713648,592.8475344
2018-07-19T08:35:50Z,1531989350,E20C,40.8678436,44.0472,1184.25,23.5,15.4,98,530844,-90811.88,92.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,819.4282005,767.0330811,2.439913064,1184.250732,481.2474976,791.1073041,213.5692139,0.043740311,NaN,3.646173545,2.372641872,5000,1.211095572,1.211095572,1.211095572,33573.12879,1161.353245,34734.48203,,,2.720000029,703.0032349,1368.968272,1407.760745
2018-07-19T08:35:51Z,1531989351,E20C,40.879455,44.0460256,1442.39,20.6,15,98.1,531787,-90852.89,92.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,978.5530586,902.7688599,2.922461134,1442.38916,758.315979,943.8912229,258.1384277,0.039045838,NaN,2.553835051,0.479293797,5000,0.581922948,0.581922948,0.581922948,47878.30443,1414.500566,49292.80499,,,3.720000029,684.0731812,2307.189004,2381.031588
2018-07-19T08:35:52Z,1531989352,E20C,40.8907834,44.0448584,1679.23,18.7,13.9,98.3,532707.25,-90895.16,92.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,951.1772545,868.3358154,2.848565985,1679.226074,967.1630249,921.2200853,236.8369141,0.045912291,NaN,1.907699156,1.003115412,5000,1.065793514,1.065793514,1.065793514,45236.90847,1646.758238,46883.66671,,,4.720000029,712.0630493,3222.903925,3327.095005
2018-07-19T08:35:53Z,1531989353,E20C,40.9018088,44.0436518,1893.26,17,13,99.1,533603.75,-90944.02,93.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,922.9901286,834.7761841,2.771101941,1893.26001,1148.574158,897.8308594,214.0339355,0.088288331,NaN,1.738474389,1.012002022,5000,1.021158814,1.021158814,1.021158814,42595.53888,1856.653827,44452.19271,,,5.720000029,744.6858521,4115.283406,4245.026248
2018-07-19T08:35:54Z,1531989354,E20C,40.9125921,44.0423823,2091.61,15.9,12.5,99.3,534481.5,-91001.61,93.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,901.7227218,808.5201416,2.713589019,2091.609863,1304.73761,879.6369721,198.3498535,0.04459647,NaN,0.938467992,0.601016626,5000,0.392580897,0.392580897,0.392580897,40655.19335,2051.168587,42706.36194,,,6.720000029,786.8722534,4989.645928,5141.870829
2018-07-19T08:35:55Z,1531989355,E20C,40.9232105,44.0411452,2280.77,15,12.2,99.1,535345.81,-91056.77,93.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,886.486876,788.2886963,2.673722624,2280.765381,1531.075623,866.0711122,189.1555176,0.027601949,NaN,0.969231164,0.395773577,5000,0.728411973,0.728411973,0.728411973,39292.94906,2236.666782,41529.61585,,,7.720000029,749.6897583,5850.420304,6023.471845
2018-07-19T08:35:56Z,1531989356,E20C,40.9337265,44.0399664,2463.08,14.2,11.7,98.8,536201.25,-91106.14,93.2,Weapon+Missile,Red,Allies,R-27ET,,xu,,876.0426792,772.7329712,2.64795906,2463.084717,1717.084717,856.8608029,182.3193359,0.38947372,NaN,0.553846379,1.543272599,5000,2.93859458,2.93859458,2.93859458,38372.53879,2415.460974,40787.99977,,,8.720000029,746,6702.092122,6894.749536
2018-07-19T08:35:57Z,1531989357,E20C,40.9440686,44.0389626,2608.59,14.9,9.5,98,537040.94,-91137.3,92.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,852.7714672,747.7714844,2.582101941,2608.59375,1853.361084,840.2656107,145.5090332,0.509001669,NaN,0.876887006,2.497405309,5000,2.935241461,2.935241461,2.935241461,36360.95876,2558.15659,38919.11535,,,9.720000029,755.232666,7537.211555,7742.777851
2018-07-19T08:35:58Z,1531989358,E20C,40.9536844,44.0380935,2705.91,20.4,1.9,94.8,537821,-91159.06,89.2,Weapon+Missile,Red,Allies,R-27ET,,xu,,786.4103249,688.3963623,2.383944556,2705.90918,1941.085693,780.3658798,97.31542969,0.17002427,NaN,8.338462278,7.021840009,4007.747103,13.75340939,13.75340939,13.75340939,30922.05996,2653.590426,33575.65038,,,10.72000003,764.8234863,8312.772022,8524.740525
2018-07-19T08:35:59Z,1531989359,E20C,40.9620995,44.0378319,2668.97,28.1,-8.1,90.2,538498.19,-91122.59,84.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,679.1744259,599.1373291,2.057955505,2668.970703,1805.835205,678.1691896,-36.93847656,0.085422633,NaN,7.184614516,11.10363619,3652.368382,11.22686005,11.22686005,11.22686005,23063.89504,2617.366155,25681.2612,,,11.72000003,863.135498,8986.81933,9200.082793
2018-07-19T08:36:00Z,1531989360,E20C,40.9693355,44.0380216,2536.78,35.1,-17.3,85.7,539076.12,-91045.09,80.1,Weapon+Missile,Red,Allies,R-27ET,,xu,,597.9059747,533.7680664,1.808842693,2536.778564,1616.319519,583.1095892,-132.1921387,0.420438891,NaN,6.81538815,9.408479714,4111.366322,7.645313263,7.645313263,7.645313263,17874.57773,2487.729951,20362.30768,,,12.72000003,920.4590454,9566.265819,9794.647417
2018-07-19T08:36:01Z,1531989361,E20C,40.9754908,44.0385223,2355.41,36,-22.6,81.4,539564,-90941.44,75.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,530.7160627,480.3193054,1.602106775,2355.414551,1358.739136,498.7651088,-181.3640137,0.122466071,NaN,0.769236395,7.326168479,4862.042354,4.934157848,4.934157848,4.934157848,14082.97696,2309.87261,16392.84957,,,13.72000003,996.675415,10061.98695,10322.68233
2018-07-19T08:36:02Z,1531989362,E20C,40.9808035,44.0392322,2152.65,36.3,-27.4,77.5,539982.12,-90821.09,71.9,Weapon+Missile,Red,Allies,R-27ET,,xu,,480.0272085,440.1551514,1.445607596,2152.650879,1086.904297,435.101154,-202.7636719,0.165293424,NaN,0.246153187,5.926424942,4914.876553,3.917673111,3.917673111,3.917673111,11521.30604,2111.029374,13632.33542,,,14.72000003,1065.746582,10494.41399,10800.4254
2018-07-19T08:36:03Z,1531989363,E20C,40.9853887,44.0400759,1937.67,36.4,-31.6,73.8,540340.44,-90691.52,68.1,Weapon+Missile,Red,Allies,R-27ET,,xu,,437.4830464,406.0485229,1.3141461,1937.669189,806.3532715,381.0174393,-214.9816895,0.134991862,NaN,0.015395246,5.336575355,4946.203322,3.169005871,3.169005871,3.169005871,9569.570793,1900.204356,11469.77515,,,15.72000003,1131.315918,10873.16973,11236.04571
